"","X1","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel","gameID","abID","orderID","typeres"
"21",975,"FF",2020-10-25,91.4,1.06,6.31,"Clayton Kershaw",621563,477132,NA,"ball",NA,NA,NA,NA,12,"null","W","L","L","TB","LAD","B","null","null",0,2,2020,-0.15,1.69,1.09,2.42,NA,622534,NA,1,2,"Bot",NA,NA,NA,NA,605131,NA,"null",0.395368719847468,-132.952949313151,-7.54582908055077,-1.87024275820534,29.8430191022213,-10.6694230668751,3.09,1.49,NA,NA,NA,91.2,2529,6.3,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.06,"null","null","null","null","null","null","null",18,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Strategic","Standard",0,"2020-10-25 LAD TB",6,7,"FF,B"
"22",976,"SL",2020-10-25,89.9,1.3,6.19,"Clayton Kershaw",621563,477132,NA,"ball",NA,NA,NA,NA,13,"null","W","L","L","TB","LAD","B","null","null",1,2,2020,-0.43,0.9,-2.21,1.02,NA,622534,NA,1,2,"Bot",NA,NA,NA,NA,605131,NA,"null",-7.75583772759268,-130.468343436941,-8.68827343057113,-3.2395378954791,27.6735446806873,-20.1581637364978,3.08,1.48,NA,NA,NA,89.4,2851,6.2,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.3,"null","null","null","null","null","null","null",18,4,"Slider",0,3,0,3,3,0,0,3,"Strategic","Standard",0,"2020-10-25 LAD TB",6,7,"SL,B"
"23",977,"FF",2020-10-25,92.5,1.22,6.27,"Clayton Kershaw",621563,477132,NA,"foul",NA,NA,NA,NA,3,"null","W","L","L","TB","LAD","S","null","null",2,2,2020,-0.2,1.6,0.64,2.61,NA,622534,NA,1,2,"Bot",NA,NA,NA,NA,605131,NA,"null",-1.00860727154012,-134.645728233569,-6.99932152921646,-2.26087075591797,29.6971791651226,-11.3457312368172,3.05,1.46,203,76.2,56,92.3,2458,6.2,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.22,"null","null","null","null","null","null","null",18,5,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Strategic","Standard",0,"2020-10-25 LAD TB",6,7,"FF,SW"
"24",978,"CU",2020-10-25,75.4,0.95,6.43,"Clayton Kershaw",621563,477132,"strikeout","called_strike",NA,NA,NA,NA,12,"Joey Wendle called out on strikes.","W","L","L","TB","LAD","S","2","null",2,2,2020,-0.56,-1.4,0.35,3.53,NA,622534,NA,1,2,"Bot",NA,NA,NA,NA,605131,NA,"null",-0.255391890385329,-109.710426488909,3.63804680237439,-4.42455634706512,21.54119433294,-44.3028131119586,3.18,1.45,NA,NA,NA,74.7,2630,6.1,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,0.95,"null","null","0.00","1","0","0","null",18,6,"Curveball",0,3,0,3,3,0,0,3,"Strategic","Standard",0,"2020-10-25 LAD TB",6,7,"CU,CS"
"25",979,"SL",2020-10-25,88.3,1.06,6.31,"Clayton Kershaw",642715,477132,NA,"swinging_strike",NA,NA,NA,NA,7,"null","W","R","L","TB","LAD","S","null","null",0,0,2020,-0.52,0.64,-0.39,1.94,NA,622534,NA,2,2,"Bot",NA,NA,NA,NA,605131,NA,"null",-2.42461952869938,-128.52875054849,-5.88174817587924,-5.30637307589977,26.7620114661224,-24.017902542278,3.5,1.69,NA,NA,NA,88.1,2764,6.2,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.06,"null","null","null","null","null","null","null",19,1,"Slider",0,3,0,3,3,0,0,3,"Infield shift","Standard",0,"2020-10-25 LAD TB",7,8,"SL,SW"
"26",980,"CU",2020-10-25,74.1,0.86,6.5,"Clayton Kershaw",642715,477132,"field_out","hit_into_play",NA,NA,NA,NA,9,"Willy Adames grounds out, third baseman Justin Turner to first baseman Max Muncy.","W","R","L","TB","LAD","X","5","ground_ball",0,1,2020,-0.29,-1.61,0.42,2.07,NA,622534,NA,2,2,"Bot",88.41,167.83,NA,NA,605131,NA,"null",-0.395963232084611,-107.842728227997,1.14013987570686,-2.16343439680304,22.138421834625,-45.0172741459103,3.5,1.69,5,70.9,-26,73.4,2724,6.2,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,0.86,"0.029","0.026","0.00","1","0","0","2",19,2,"Curveball",0,3,0,3,3,0,0,3,"Infield shift","Standard",0,"2020-10-25 LAD TB",7,8,"CU,SW"
"27",997,"FF",2020-10-25,90.8,1.53,6.26,"Clayton Kershaw",595281,477132,NA,"foul",NA,NA,NA,NA,6,"null","W","L","L","TB","LAD","S","null","null",0,0,2020,0.07,1.86,0.44,2.24,NA,NA,NA,0,3,"Bot",NA,NA,NA,NA,605131,NA,"null",-2.9001052703525,-131.990215586873,-8.09355341475189,1.51426534505154,30.4742664217419,-8.91390520635744,3.25,1.49,194,72.3,54,90.7,2487,6.5,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.53,"null","null","null","null","null","null","null",24,1,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shift","Standard",0,"2020-10-25 LAD TB",8,9,"FF,SW"
"28",998,"FF",2020-10-25,90.5,1.49,6.32,"Clayton Kershaw",595281,477132,NA,"swinging_strike",NA,NA,NA,NA,2,"null","W","L","L","TB","LAD","S","null","null",0,1,2020,-0.28,1.78,0.2,2.94,NA,NA,NA,0,3,"Bot",NA,NA,NA,NA,605131,NA,"null",-2.61202277608981,-131.612266706058,-6.21414182593581,-2.64550287635521,30.7784696398331,-10.376623588496,3.25,1.49,NA,NA,NA,89.8,2511,6.1,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.49,"null","null","null","null","null","null","null",24,2,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shift","Standard",0,"2020-10-25 LAD TB",8,9,"FF,SW"
"29",999,"FF",2020-10-25,90.4,1.43,6.28,"Clayton Kershaw",595281,477132,NA,"ball",NA,NA,NA,NA,12,"null","W","L","L","TB","LAD","B","null","null",0,2,2020,-0.23,1.77,0.92,5.01,NA,NA,NA,0,3,"Bot",NA,NA,NA,NA,605131,NA,"null",-0.772875910473611,-131.636625678105,-0.928656329873606,-2.46697114822768,30.5599163970434,-11.7887264314028,3.34,1.55,NA,NA,NA,90.3,2442,6.4,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.43,"null","null","null","null","null","null","null",24,3,"4-Seam Fastball",0,3,0,3,3,0,0,3,"Infield shift","Standard",0,"2020-10-25 LAD TB",8,9,"FF,B"
"30",1000,"CU",2020-10-25,74.5,1.06,6.38,"Clayton Kershaw",595281,477132,NA,"foul",NA,NA,NA,NA,4,"null","W","L","L","TB","LAD","S","null","null",1,2,2020,-0.36,-1.47,-0.46,2.16,NA,NA,NA,0,3,"Bot",NA,NA,NA,NA,605131,NA,"null",-2.47815713659453,-108.319712812232,1.2565604230434,-2.30599603397373,21.5940453346802,-44.1130755037568,3.25,1.49,4,70,-42,74.1,2639,6.4,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.06,"null","null","null","null","null","null","null",24,4,"Curveball",0,3,0,3,3,0,0,3,"Infield shift","Standard",0,"2020-10-25 LAD TB",8,9,"CU,SW"
